[20190520,0.465 ,0.308,0.789,56,30,10,5,15,119],
[20190518,0.488 ,0.308,0.87,49,27,9,5,13,110],
[20190516,0.512 ,0.31,0.778,50,30,4,9,16,114],
[20190514,0.500 ,0.515,0.833,42,30,13,8,14,116],
[20190510,0.494 ,0.421,0.783,35,25,9,7,17,118],
[20190508,0.459 ,0.351,0.722,42,28,6,1,15,104],
[20190506,0.467 ,0.242,0.696,43,24,6,2,11,108],
[20190504,0.442 ,0.424,0.793,35,27,6,6,8,121],
[20190430,0.462 ,0.306,0.833,45,24,10,5,12,115],
[20190428,0.507 ,0.318,0.778,38,24,7,3,20,104],
[20190426,0.528 ,0.333,0.806,46,32,6,9,10,129],
[20190424,0.448 ,0.385,0.909,39,31,7,3,8,121],
[20190421,0.472 ,0.387,0.895,49,27,5,2,13,113],
[20190418,0.548 ,0.429,0.833,50,35,4,11,12,132],
[20190415,0.533 ,0.393,0.889,38,31,11,6,22,131],
[20190413,0.495 ,0.467,0.85,53,31,9,14,21,121],
[20190410,0.500 ,0.433,0.857,39,32,3,5,14,117],
[20190409,0.483 ,0.4,0.667,58,25,8,3,14,112],
[20190407,0.546 ,0.324,0.867,48,34,16,8,9,131],
[20190405,0.529 ,0.541,1,38,29,2,8,13,120],
[20190404,0.439 ,0.391,0.8,51,30,11,5,14,108],
[20190402,0.543 ,0.382,0.375,55,36,11,11,24,116],
[20190331,0.602 ,0.636,0.833,50,41,7,10,15,137],
[20190329,0.469 ,0.45,0.714,45,27,11,3,14,130],
[20190327,0.536 ,0.484,0.867,46,30,9,8,14,118],
[20190324,0.622 ,0.52,0.842,37,31,3,5,13,121],
[20190323,0.400 ,0.133,0.714,36,22,6,2,10,91],
[20190321,0.494 ,0.361,0.688,50,32,6,8,15,112],
[20190319,0.484 ,0.452,0.714,46,39,6,7,13,117],
[20190318,0.466 ,0.333,0.833,43,27,7,6,13,105],
[20190316,0.470 ,0.429,0.773,53,25,10,6,16,110],
[20190313,0.494 ,0.375,1,44,28,7,2,14,106],
[20190310,0.442 ,0.233,0.773,48,34,10,6,16,111],
