[20190525,0.486,0.444,0.727,38,20,7,4,10,100], 
[20190523,0.369,0.419,0.806,45,19,6,4,6,105], 
[20190521,0.471,0.341,0.889,44,32,9,5,11,120], 
[20190519,0.392,0.378,0.808,55,28,11,10,17,118], 
[20190517,0.425,0.313,0.76,40,19,3,6,13,103], 
[20190515,0.37,0.357,0.85,46,17,9,4,12,100], 
[20190512,0.382,0.233,0.895,49,15,10,4,10,92], 
[20190509,0.432,0.25,0.759,34,25,9,4,12,101], 
[20190507,0.488,0.4,0.879,42,22,12,2,10,125], 
[20190505,0.461,0.323,0.808,43,19,6,3,13,101], 
[20190502,0.422,0.259,0.783,35,15,7,4,9,95], 
[20190429,0.363,0.27,0.867,36,20,10,4,9,89], 
[20190427,0.519,0.333,0.708,40,21,3,6,10,108], 
[20190423,0.482,0.417,0.857,48,34,8,3,14,115], 
[20190421,0.533,0.393,0.889,45,23,11,6,14,107], 
[20190419,0.448,0.393,0.9,43,26,9,3,13,98], 
[20190416,0.483,0.314,0.941,42,25,10,5,7,111], 
[20190413,0.455,0.333,0.643,45,23,4,4,12,101], 
[20190409,0.523,0.432,0.706,54,24,10,5,18,120], 
[20190407,0.448,0.39,0.852,47,26,7,5,11,117], 
[20190405,0.538,0.346,0.8,43,27,2,5,14,111], 
[20190403,0.419,0.395,0.857,52,29,9,1,7,115], 
[20190401,0.5,0.514,0.818,39,31,9,8,14,121], 
[20190330,0.517,0.474,0.778,47,35,10,4,11,124], 
[20190328,0.449,0.426,0.773,44,32,8,6,8,117], 
[20190326,0.488,0.429,1,39,28,13,7,15,112], 
[20190324,0.584,0.423,1,35,29,6,11,13,114], 
[20190322,0.5,0.52,0.857,46,20,7,7,21,109], 
[20190320,0.517,0.389,0.905,52,30,11,5,17,123], 
[20190318,0.557,0.425,0.591,50,36,5,6,14,128], 
[20190317,0.476,0.5,0.786,38,25,2,2,12,107], 
[20190314,0.396,0.39,0.793,52,21,15,6,17,111], 
[20190311,0.476,0.282,0.588,43,20,8,3,20,101], 
[20190310,0.568,0.525,0.769,44,32,8,8,19,125], 
[20190308,0.535,0.351,0.889,51,31,10,12,16,127], 
[20190305,0.416,0.281,0.75,47,16,1,5,13,95], 
[20190303,0.385,0.359,0.792,50,22,8,3,15,107], 
[20190301,0.556,0.357,0.905,32,29,9,6,14,119], 
[20190226,0.489,0.472,0.643,45,33,7,5,8,118], 
[20190224,0.418,0.393,0.786,42,30,6,2,13,98], 
[20190222,0.426,0.467,0.813,47,24,8,3,9,120], 
[20190213,0.478,0.421,0.833,52,32,8,8,14,129], 
[20190211,0.543,0.29,0.9,40,32,12,3,13,127], 
[20190209,0.384,0.4,0.828,47,27,8,5,12,104], 
[20190207,0.46,0.325,0.788,50,29,6,2,8,119], 
[20190205,0.461,0.355,0.813,42,27,12,0,10,119], 
[20190203,0.457,0.273,0.839,56,21,10,5,14,121], 
[20190131,0.398,0.259,0.846,39,16,9,4,16,92], 
[20190127,0.446,0.5,0.842,44,24,6,5,7,123], 
[20190125,0.484,0.389,0.944,47,27,4,1,19,119], 
[20190123,0.418,0.316,0.783,45,28,2,5,9,106], 
[20190122,0.44,0.4,0.686,46,25,7,5,16,120], 
[20190119,0.484,0.472,0.875,38,31,19,9,10,119], 
[20190117,0.5,0.25,0.72,38,27,9,7,14,111], 
[20190116,0.446,0.241,0.905,42,20,9,2,10,108], 
[20190113,0.471,0.361,0.806,58,24,16,8,21,140], 
[20190111,0.457,0.314,0.625,55,32,10,4,9,122], 
[20190108,0.463,0.313,0.741,39,26,18,7,18,104], 
[20190106,0.518,0.515,0.941,41,30,9,4,15,121], 
[20190105,0.512,0.452,0.806,38,28,9,6,11,123], 
[20190103,0.448,0.2,0.793,39,21,9,6,10,107], 
[20190101,0.549,0.35,0.714,45,18,4,6,9,122], 
[20181230,0.37,0.273,0.9,52,17,5,8,11,95], 
[20181228,0.295,0.353,0.792,41,18,4,10,11,87], 
[20181226,0.468,0.433,0.826,43,19,8,2,16,106], 
[20181222,0.389,0.25,0.895,41,17,5,2,15,101], 
[20181221,0.527,0.29,0.808,43,21,10,4,8,126], 
[20181219,0.409,0.233,0.762,43,20,15,9,9,99], 
[20181216,0.398,0.2,0.643,51,13,5,4,11,86], 
[20181214,0.558,0.581,0.857,36,20,4,4,16,122], 
[20181212,0.484,0.321,0.842,48,27,12,3,11,113], 
[20181211,0.521,0.483,0.75,43,34,8,5,7,123], 
[20181209,0.415,0.341,0.857,45,24,6,11,10,99], 
[20181207,0.393,0.314,0.828,41,25,9,7,15,105], 
[20181205,0.43,0.276,0.864,53,25,12,3,11,113], 
[20181203,0.46,0.268,1,41,28,11,5,17,103], 
[20181201,0.488,0.269,0.84,42,15,5,5,10,106], 
[20181129,0.522,0.395,0.917,37,25,5,6,14,131], 
[20181127,0.609,0.545,0.714,31,25,5,5,15,122], 
[20181125,0.522,0.314,0.8,47,25,4,7,9,125], 
[20181123,0.495,0.436,0.842,50,32,5,6,15,125], 
[20181121,0.533,0.379,0.739,55,33,6,1,17,124], 
[20181120,0.448,0.265,0.75,43,23,7,5,16,93], 
[20181117,0.539,0.4,0.923,54,31,14,10,23,122], 
[20181116,0.433,0.276,0.828,43,20,12,4,13,116], 
[20181114,0.489,0.2,0.588,49,23,9,3,20,104], 
[20181112,0.402,0.289,0.864,43,22,9,5,10,110], 
[20181110,0.532,0.4,0.75,46,24,8,4,15,128], 
