zuo	Í¶Àº	Èý·Ö	·£Çò	Àº°å	Öú¹¥	ÇÀ¶Ï	¸ÇÃ±	Ê§Îó	µÃ·Ö	you
[	0.416 	0.281 	0.750 	47	16	1	5	13	95	"],"
[	0.385 	0.359 	0.792 	50	22	8	3	15	107	"],"
[	0.556 	0.357 	0.905 	32	29	9	6	14	119	"],"
[	0.489 	0.472 	0.643 	45	33	7	5	8	118	"],"
[	0.418 	0.393 	0.786 	42	30	6	2	13	98	"],"
[	0.426 	0.467 	0.813 	47	24	8	3	9	120	"],"
[	0.478 	0.421 	0.833 	52	32	8	8	14	129	"],"
[	0.543 	0.290 	0.900 	40	32	12	3	13	127	"],"
[	0.384 	0.400 	0.828 	47	27	8	5	12	104	"],"
[	0.460 	0.325 	0.788 	50	29	6	2	8	119	"],"
[	0.461 	0.355 	0.813 	42	27	12	0	10	119	"],"
[	0.457 	0.273 	0.839 	56	21	10	5	14	121	"],"
[	0.398 	0.259 	0.846 	39	16	9	4	16	92	"],"
[	0.446 	0.500 	0.842 	44	24	6	5	7	123	"],"
[	0.484 	0.389 	0.944 	47	27	4	1	19	119	"],"
[	0.418 	0.316 	0.783 	45	28	2	5	9	106	"],"
[	0.440 	0.400 	0.686 	46	25	7	5	16	120	"],"
[	0.484 	0.472 	0.875 	38	31	19	9	10	119	"],"
[	0.500 	0.250 	0.720 	38	27	9	7	14	111	"],"
[	0.446 	0.241 	0.905 	42	20	9	2	10	108	"],"
[	0.471 	0.361 	0.806 	58	24	16	8	21	140	"],"
[	0.457 	0.314 	0.625 	55	32	10	4	9	122	"],"
[	0.463 	0.313 	0.741 	39	26	18	7	18	104	"],"
[	0.518 	0.515 	0.941 	41	30	9	4	15	121	"],"
[	0.512 	0.452 	0.806 	38	28	9	6	11	123	"],"
[	0.448 	0.200 	0.793 	39	21	9	6	10	107	"],"
[	0.549 	0.350 	0.714 	45	18	4	6	9	122	"],"
[	0.370 	0.273 	0.900 	52	17	5	8	11	95	"],"
[	0.295 	0.353 	0.792 	41	18	4	10	11	87	"],"
[	0.468 	0.433 	0.826 	43	19	8	2	16	106	"],"
[	0.389 	0.250 	0.895 	41	17	5	2	15	101	"],"
[	0.527 	0.290 	0.808 	43	21	10	4	8	126	"],"
[	0.409 	0.233 	0.762 	43	20	15	9	9	99	"],"
[	0.398 	0.200 	0.643 	51	13	5	4	11	86	"],"
[	0.558 	0.581 	0.857 	36	20	4	4	16	122	"],"
[	0.484 	0.321 	0.842 	48	27	12	3	11	113	"],"
[	0.521 	0.483 	0.750 	43	34	8	5	7	123	"],"
[	0.415 	0.341 	0.857 	45	24	6	11	10	99	"],"
[	0.393 	0.314 	0.828 	41	25	9	7	15	105	"],"
[	0.430 	0.276 	0.864 	53	25	12	3	11	113	"],"
[	0.460 	0.268 	1.000 	41	28	11	5	17	103	"],"
[	0.488 	0.269 	0.840 	42	15	5	5	10	106	"],"
[	0.522 	0.395 	0.917 	37	25	5	6	14	131	"],"
[	0.609 	0.545 	0.714 	31	25	5	5	15	122	"],"
[	0.522 	0.314 	0.800 	47	25	4	7	9	125	"],"
[	0.495 	0.436 	0.842 	50	32	5	6	15	125	"],"
[	0.533 	0.379 	0.739 	55	33	6	1	17	124	"],"
[	0.448 	0.265 	0.750 	43	23	7	5	16	93	"],"
[	0.539 	0.400 	0.923 	54	31	14	10	23	122	"],"
[	0.433 	0.276 	0.828 	43	20	12	4	13	116	"],"
[	0.489 	0.200 	0.588 	49	23	9	3	20	104	"],"
[	0.402 	0.289 	0.864 	43	22	9	5	10	110	"],"
[	0.532 	0.400 	0.750 	46	24	8	4	15	128	"],"
[	0.466 	0.306 	0.913 	53	17	10	4	21	114	"],"
[	0.570 	0.394 	0.929 	43	21	9	3	14	124	"],"
[	0.500 	0.286 	0.929 	49	32	8	4	11	121	"],"
[	0.506 	0.364 	0.619 	39	29	11	10	13	107	"],"
[	0.511 	0.407 	0.857 	43	29	13	6	15	129	"],"
[	0.379 	0.200 	0.786 	51	25	9	8	10	109	"],"
[	0.484 	0.407 	0.850 	50	23	10	5	12	116	"],"
[	0.517 	0.344 	0.750 	44	26	9	8	16	112	"],"
[	0.575 	0.385 	0.857 	46	36	10	8	13	127	"],"
[	0.443 	0.345 	0.806 	52	21	5	5	17	117	"],"
[	0.467 	0.371 	0.737 	49	24	3	3	12	113	"],"
[	0.489 	0.424 	0.600 	44	21	6	7	10	116	"],"
